fold,train_rows,test_rows,dir_acc_%,dir_acc_at_30bps_%,mae,net_pnl_bps,trades,test_start,test_end
1,15738,2100,55.67,62.52,0.007377,34545.48,811,2023-10-16,2024-04-08
2,17838,2100,61.24,63.73,0.003607,6384.57,466,2024-04-08,2024-09-30
3,19938,2100,55.95,67.71,0.002156,1612.94,96,2024-09-30,2025-03-25
4,22038,2100,58.38,50.0,0.001457,1129.84,22,2025-03-25,2025-09-16
5,24138,2100,56.05,72.73,0.001178,112.33,11,2025-09-16,2026-03-10
