bucket_2h,open,high,low,close,volume,trade_count,buy_volume,sell_volume,buy_count,sell_count,avg_trade_size,max_trade_size,stddev_trade_size,large_trade_count,large_trade_volume,intrabar_price_stddev,intrabar_range,unique_buyers,unique_sellers,btcngn_close,btcngn_volume,btcngn_trade_count,implied_btcusd_quidax
2025-12-17 12:00:00+00:00,1479.4,1485.92,1478.72,1479.62,8745.4602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129573356.0,0.1643,0.0,87572.04958029765
2025-12-17 14:00:00+00:00,1479.71,1486.84,1479.43,1479.63,10325.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128873438.0,0.2194,0.0,87098.42190277299
2025-12-17 16:00:00+00:00,1479.44,1486.45,1479.01,1485.94,163554.9713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127709876.0,0.2274,0.0,85945.51327779048
2025-12-17 18:00:00+00:00,1485.94,1486.42,1479.6,1480.2,1536.1773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127228816.0,0.1329,0.0,85953.80083772463
2025-12-17 20:00:00+00:00,1480.35,1496.26,1479.48,1496.26,2154.1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127191794.0,0.1924,0.0,85006.47882052585
2025-12-17 22:00:00+00:00,1496.26,1496.26,1480.03,1485.92,1594.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127360904.0,0.2865,0.0,85711.81759448691
2025-12-18 00:00:00+00:00,1485.92,1486.08,1479.76,1480.35,488.3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127324354.0,0.1079,0.0,86009.62880399906
2025-12-18 02:00:00+00:00,1480.35,1486.93,1480.35,1480.43,223.2934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128102576.0,0.0768,0.0,86530.65393162797
2025-12-18 04:00:00+00:00,1480.43,1487.0,1480.43,1480.65,125.3024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127812597.0,0.1032,0.0,86321.95117009421
2025-12-18 06:00:00+00:00,1480.65,1487.3,1479.81,1480.61,1496.7043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128393617.0,0.0983,0.0,86716.70257528992
2025-12-18 08:00:00+00:00,1480.61,1485.79,1478.95,1479.56,3648.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129037083.0,0.1025,0.0,87213.14647597935
2025-12-18 10:00:00+00:00,1479.56,1485.63,1477.62,1478.58,206297.6569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128881639.0,0.199,0.0,87165.82058461498
2025-12-18 12:00:00+00:00,1478.58,1485.84,1477.77,1485.74,3014.2649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131393382.0,0.1527,0.0,88436.32264056968
2025-12-18 14:00:00+00:00,1485.69,1486.06,1479.28,1479.69,8837.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131115461.0,0.1529,0.0,88610.08792382188
2025-12-18 16:00:00+00:00,1479.69,1486.6,1478.69,1480.77,5279.4135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127659788.0,0.1953,0.0,86211.76009778696
2025-12-18 18:00:00+00:00,1480.77,1487.0,1480.59,1480.98,6168.2128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125089679.0,0.1788,0.0,84464.12443111993
2025-12-18 20:00:00+00:00,1481.08,1486.97,1479.89,1480.3,4264.5633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126321934.0,0.2234,0.0,85335.36039991894
2025-12-18 22:00:00+00:00,1480.3,1486.31,1480.1,1480.67,3335.4451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126402844.0,0.135,0.0,85368.68039468619
2025-12-19 00:00:00+00:00,1480.67,1486.52,1479.91,1486.52,1083.8633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126244535.0,0.124,0.0,84926.22702688158
2025-12-19 02:00:00+00:00,1486.52,1486.87,1480.47,1480.8,3998.7723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128202200.0,0.0689,0.0,86576.31010264721
2025-12-19 04:00:00+00:00,1480.8,1486.89,1480.75,1481.02,1433.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128849491.0,0.127,0.0,87000.50708295635
2025-12-19 06:00:00+00:00,1481.02,1486.74,1480.25,1480.25,776.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130062878.0,0.0706,0.0,87865.48083094072
2025-12-19 08:00:00+00:00,1480.25,1486.3,1478.97,1480.29,502844.0835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130198908.0,0.2373,0.0,87955.00070932048
2025-12-19 10:00:00+00:00,1480.29,1486.24,1479.74,1480.57,114699.5053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130480927.0,0.1767,0.0,88128.8469981156
2025-12-19 12:00:00+00:00,1480.57,1487.46,1480.13,1481.53,4022.2113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130105684.0,0.2047,0.0,87818.46064541387
2025-12-19 14:00:00+00:00,1487.62,1489.0,1481.54,1481.54,2965.4319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130101746.0,0.19,0.0,87815.20984921097
2025-12-19 16:00:00+00:00,1481.54,1487.07,1479.25,1479.47,7234.5976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129074684.0,0.2313,0.0,87243.86706050139
2025-12-19 18:00:00+00:00,1479.47,1486.66,1479.47,1486.35,207525.8357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129868970.0,0.2481,0.0,87374.42056043328
2025-12-19 20:00:00+00:00,1486.35,1486.8,1479.01,1479.74,2272.0964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129771245.0,0.2567,0.0,87698.680173544
2025-12-19 22:00:00+00:00,1479.64,1485.73,1478.6,1485.19,3643.9814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130198033.0,0.1674,0.0,87664.22679926474
2025-12-20 00:00:00+00:00,1485.19,1485.96,1478.12,1478.38,981.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130003062.0,0.1243,0.0,87936.16120347948
2025-12-20 02:00:00+00:00,1478.38,1484.57,1476.43,1476.43,1091.5423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130112195.0,0.1037,0.0,88126.22000365746
2025-12-20 04:00:00+00:00,1476.43,1477.23,1476.43,1476.55,103.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130293934.0,0.0797,0.0,88242.14147844639
2025-12-20 06:00:00+00:00,1476.55,1483.93,1476.33,1482.04,8404.5265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130102038.0,0.0956,0.0,87785.78041078514
2025-12-20 08:00:00+00:00,1482.04,1482.94,1473.35,1474.19,1859.9165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129929335.0,0.1336,0.0,88136.0849008608
2025-12-20 10:00:00+00:00,1474.19,1483.39,1474.19,1477.29,4241.8785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130238997.0,0.0931,0.0,88160.75178197917
2025-12-20 12:00:00+00:00,1477.29,1482.94,1474.41,1475.86,3476.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130040655.0,0.1328,0.0,88111.78228287236
2025-12-20 14:00:00+00:00,1475.86,1482.12,1474.49,1474.73,5870.4515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129911456.0,0.1143,0.0,88091.68864809151
2025-12-20 16:00:00+00:00,1474.73,1479.95,1467.78,1473.41,3532.5383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129233674.0,0.1891,0.0,87710.59922221242
2025-12-20 18:00:00+00:00,1467.0,1472.73,1464.25,1472.29,3734.6733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129231453.0,0.1852,0.0,87775.81386819173
2025-12-20 20:00:00+00:00,1472.29,1473.18,1464.92,1467.5,1563.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129281891.0,0.1637,0.0,88096.68892674617
2025-12-20 22:00:00+00:00,1467.8,1474.29,1466.49,1467.64,2567.3219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129527964.0,0.1082,0.0,88255.95105066636
2025-12-21 00:00:00+00:00,1467.64,1473.69,1466.69,1469.12,987.6414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129207590.0,0.0897,0.0,87948.96945109998
